2021-12-13 11:14:40 INFO  NetworkConfig:422 - writing properties to file /home/pi/Desktop/finna/it.unibo.sonarRaspberry-1.0/bin/Californium.properties
2021-12-13 11:14:41 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-12-13 11:14:41 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-12-13 11:14:41 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-12-13 11:14:41 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-12-13 11:14:41 INFO  CoapServer:207 - Starting server
2021-12-13 11:14:41 INFO  UDPConnector:161 - UDPConnector starts up 1 sender threads and 1 receiver threads
2021-12-13 11:14:41 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8070, recv buf = 81920, send buf = 81920, recv packet size = 2048
2021-12-13 11:14:41 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8070
2021-12-13 11:15:58 INFO  NetworkConfig:372 - loading properties from file /home/pi/Desktop/finna/it.unibo.sonarRaspberry-1.0/bin/Californium.properties
2021-12-13 11:15:58 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-12-13 11:15:58 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-12-13 11:15:58 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-12-13 11:15:58 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-12-13 11:15:58 INFO  CoapServer:207 - Starting server
2021-12-13 11:15:58 INFO  UDPConnector:161 - UDPConnector starts up 1 sender threads and 1 receiver threads
2021-12-13 11:15:58 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8070, recv buf = 81920, send buf = 81920, recv packet size = 2048
2021-12-13 11:15:58 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8070
2021-12-13 11:17:17 INFO  NetworkConfig:372 - loading properties from file /home/pi/Desktop/finna/it.unibo.sonarRaspberry-1.0/bin/Californium.properties
2021-12-13 11:17:17 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-12-13 11:17:18 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-12-13 11:17:18 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-12-13 11:17:18 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-12-13 11:17:18 INFO  CoapServer:207 - Starting server
2021-12-13 11:17:18 INFO  UDPConnector:161 - UDPConnector starts up 1 sender threads and 1 receiver threads
2021-12-13 11:17:18 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8070, recv buf = 81920, send buf = 81920, recv packet size = 2048
2021-12-13 11:17:18 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8070
2021-12-13 11:17:22 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-12-13 11:17:22 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-12-13 11:17:22 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-12-13 11:17:22 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-12-13 11:17:22 INFO  CoapEndpoint:452 - Endpoint [coap://0.0.0.0:0] requires an executor to start, using default single-threaded daemon executor
2021-12-13 11:17:22 INFO  UDPConnector:161 - UDPConnector starts up 1 sender threads and 1 receiver threads
2021-12-13 11:17:22 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:46351, recv buf = 81920, send buf = 81920, recv packet size = 2048
2021-12-13 11:17:22 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:46351
2021-12-13 11:17:22 INFO  EndpointManager:140 - created implicit endpoint coap://0.0.0.0:46351 for coap
